#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,MIN 25,3,2:15,7,Punt
2,1,7:04,MIN 24,3,2:13,4,Punt
3,1,0:58,MIN 19,7,3:10,67,Field Goal
4,2,8:55,MIN 25,3,2:03,9,Punt
5,2,5:52,MIN 24,3,1:23,-8,Punt
6,2,0:24,MIN 31,2,0:18,28,Field Goal
7,3,14:28,CHI 49,3,1:37,17,Interception
8,3,12:51,MIN 28,3,2:43,-10,Punt
9,3,7:14,MIN 23,3,1:28,8,Punt
10,4,14:55,MIN 40,6,2:42,60,Touchdown
11,4,10:37,,3,0:51,50,Touchdown
12,4,7:24,MIN 32,9,4:31,68,Touchdown
13,4,2:02,MIN 26,3,1:53,5,Punt
