#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,MIN 20,9,4:40,28,Punt
2,1,9:20,MIN 36,3,1:29,3,Punt
3,1,6:23,MIN 40,8,4:13,47,Field Goal
4,2,14:48,MIN 27,3,1:28,6,Punt
5,2,4:55,MIN 20,3,1:21,11,Interception
6,2,2:00,MIN 34,5,1:25,36,Interception
7,2,0:10,MIN 39,1,0:10,2,End of Half
8,3,10:31,MIN 20,5,3:13,13,Punt
9,3,2:11,MIN 21,3,1:07,8,Punt
10,4,13:14,CHI 24,2,0:41,24,Touchdown
11,4,8:08,MIN 35,3,0:50,2,Punt
12,4,3:14,MIN 15,10,2:24,85,Touchdown
