#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CHI 29,3,1:41,4,Punt
2,1,12:35,CHI 44,8,4:07,56,Touchdown
3,1,0:30,CHI 20,2,0:46,-20,Fumble
4,2,14:44,CHI 26,5,2:57,26,Fumble
5,2,8:46,CHI 30,11,4:50,70,Touchdown
6,2,1:19,CHI 36,9,1:19,35,Field Goal
7,3,11:16,CHI 40,5,2:47,60,Touchdown
8,3,6:23,CHI 27,3,1:15,9,Punt
9,3,3:52,CHI 46,9,4:38,54,Touchdown
10,4,6:27,CHI 32,3,1:50,8,Punt
11,4,1:53,CHI 44,3,0:24,3,Punt
12,4,0:17,CHI 48,1,0:17,-1,End of Game
