#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:19,PIT 21,2,0:44,9,Interception
2,1,8:28,PIT 5,13,7:58,95,Touchdown
3,2,11:47,PIT 48,5,3:01,22,Downs
4,2,3:56,PIT 20,7,2:37,80,Touchdown
5,3,15:00,PIT 25,6,3:44,1,Punt
6,3,8:29,PIT 27,3,2:06,7,Punt
7,3,5:08,PIT 34,3,1:16,21,Fumble
8,4,14:14,PIT 27,17,7:47,73,Touchdown
9,4,4:37,PIT 11,6,2:44,12,Punt
10,4,1:29,PIT 20,7,1:12,33,Downs
