#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,8:35,CHI 26,8,4:56,30,Punt
2,2,11:28,CHI 31,3,1:42,0,Punt
3,2,4:40,CHI 31,9,4:10,39,Downs
4,3,15:00,CHI 28,3,1:22,6,Punt
5,3,10:29,CHI 31,7,2:44,32,Interception
6,3,2:11,CHI 35,7,2:55,65,Touchdown
7,4,11:21,CHI 12,12,5:56,88,Touchdown
8,4,2:11,CHI 26,3,0:30,5,Punt
