#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DET 29,11,6:25,55,Field Goal
2,1,3:39,DET 22,16,7:11,66,Field Goal
3,2,9:46,DET 24,9,5:06,76,Touchdown
4,2,0:30,DET 30,6,0:30,35,Missed FG
5,3,13:38,DET 20,4,3:09,5,Punt
6,3,7:45,DET 20,11,5:34,74,Field Goal
7,4,14:16,DET 31,4,2:55,23,Punt
8,4,5:25,DET 20,10,3:14,45,Interception
9,4,1:41,DET 37,6,1:41,39,Field Goal
