#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:14,LVR 25,5,2:26,21,Interception
2,1,9:53,LVR 26,5,2:39,-2,Fumble
3,1,4:16,LVR 34,7,4:08,66,Touchdown
4,2,10:22,LVR 20,3,1:34,3,Interception
5,2,4:22,LVR 36,1,0:19,64,Touchdown
6,2,0:53,LVR 15,4,0:53,29,End of Half
7,3,15:00,LVR 27,1,0:18,0,Interception
8,3,11:38,LVR 20,10,6:15,80,Touchdown
9,3,3:31,LVR 1,3,2:24,7,Punt
10,4,11:38,LVR 26,9,4:53,63,Field Goal
11,4,1:34,LVR 42,6,1:01,22,Missed FG
