#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CHI 29,3,1:46,7,Punt
2,1,10:48,LVR 24,4,0:55,-4,Field Goal
3,1,7:14,LVR 20,6,2:58,7,Interception
4,1,0:08,CHI 31,8,4:46,29,Punt
5,2,8:48,LVR 24,8,4:26,-1,Field Goal
6,2,4:03,CHI 29,9,3:10,37,Field Goal
7,3,14:42,LVR 40,7,3:04,40,Touchdown
8,3,5:23,CHI 32,3,1:52,4,Punt
9,3,1:07,LVR 49,8,4:29,16,Field Goal
10,4,6:45,CHI 31,11,5:11,69,Touchdown
11,4,0:33,CHI 44,1,0:33,-1,End of Game
