#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:42,GNB 11,13,7:55,37,Interception
2,1,5:24,GNB 11,5,2:23,15,Punt
3,1,0:09,GNB 20,11,5:50,80,Touchdown
4,2,1:14,GNB 40,4,0:36,60,Touchdown
5,3,15:00,GNB 35,3,1:04,-11,Punt
6,3,8:20,GNB 37,4,2:10,63,Touchdown
7,3,3:15,GNB 27,3,1:43,6,Punt
8,4,8:00,GNB 35,8,4:28,65,Touchdown
9,4,0:22,GNB 20,1,0:22,-1,End of Game
