#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CHI 28,3,1:18,-5,Punt
2,1,5:47,GNB 36,3,0:23,-5,Punt
3,1,3:01,CHI 25,5,2:52,15,Punt
4,2,9:19,CHI 26,14,8:05,59,Field Goal
5,2,0:38,CHI 26,4,0:38,12,Punt
6,3,13:56,CHI 36,10,5:36,64,Touchdown
7,3,6:10,CHI 40,7,2:55,37,Field Goal
8,3,1:32,CHI 17,17,8:32,83,Touchdown
9,4,3:32,CHI 26,7,3:10,60,Interception
