#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,9:47,CHI 8,10,5:56,70,Downs
2,2,12:45,CHI 37,6,3:11,18,Punt
3,2,1:41,CHI 35,4,0:56,15,Punt
4,3,15:00,CHI 34,6,2:48,38,Field Goal
5,3,6:57,CHI 2,4,2:42,19,Punt
6,3,0:33,CHI 20,10,4:41,47,Field Goal
7,4,5:03,CHI 32,11,3:04,43,Field Goal
8,4,1:59,CHI 47,8,1:35,53,Touchdown
9,5,6:10,CHI 36,4,1:20,64,Touchdown
