#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,GNB 47,9,5:13,46,Downs
2,1,3:51,GNB 22,14,6:06,70,Field Goal
3,2,9:34,GNB 5,16,7:53,91,Field Goal
4,2,0:45,GNB 8,2,0:45,-2,End of Half
5,3,12:12,GNB 35,9,5:15,62,Fumble
6,3,4:15,GNB 36,6,3:42,64,Touchdown
7,4,10:52,GNB 37,10,5:49,53,Field Goal
8,4,0:24,GNB 27,1,0:24,-6,End of Half
9,5,10:00,GNB 21,6,3:50,43,Downs
