#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:48,CLE 1,3,2:30,6,Punt
2,1,7:35,CLE 30,3,1:41,9,Punt
3,1,1:29,CLE 23,3,2:20,1,Punt
4,2,4:41,CLE 25,6,2:49,35,Punt
5,2,1:10,CLE 38,3,0:30,-5,Punt
6,3,15:00,CLE 20,3,0:57,0,Punt
7,3,12:13,CHI 48,6,2:10,16,Field Goal
8,3,8:53,CLE 17,1,0:07,0,Interception
9,3,8:39,CLE 27,5,2:52,49,Interception
10,3,0:46,CLE 20,3,0:57,-9,Punt
11,4,11:50,CLE 12,5,2:55,21,Interception
12,4,7:30,CLE 29,16,7:20,58,Downs
