#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:49,CHI 27,12,6:05,73,Touchdown
2,1,5:41,CHI 26,11,5:47,74,Touchdown
3,2,12:12,CHI 18,3,2:05,8,Punt
4,2,5:47,CHI 35,11,4:18,59,Field Goal
5,2,1:12,CHI 20,10,1:09,51,Missed FG
6,3,15:00,CHI 23,12,6:49,77,Touchdown
7,3,5:19,CHI 26,6,3:22,74,Touchdown
8,4,14:54,CIN 38,5,2:51,20,Field Goal
9,4,5:53,CHI 44,2,1:00,56,Touchdown
10,4,2:42,CHI 4,3,0:27,5,Punt
11,4,0:54,CHI 28,4,0:37,72,Touchdown
