Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,PlayerID
1,D'Andre Swift,26,RB,2,2,32,130,4,83,2.6,47,1.5,1,32.0,,SwifDA00
2,Kyle Monangai,23,RB,2,0,21,63,6,27,1.3,36,1.7,0,,,MonaKy00
3,Caleb Williams,24,QB,2,2,9,60,5,31,3.4,29,3.2,0,,,WillCa03
4,Luther Burden,22,WR,2,1,2,-4,0,-4,-2.0,0,0.0,0,,,BurdLu00
5,D.J. Moore,28,WR,2,2,2,3,1,2,1.0,1,0.5,0,,,MoorD.00
6,Cole Kmet,26,TE,1,1,1,1,0,0,0.0,1,1.0,0,,,KmetCo00
,Team Totals,,,2,2,67,253,16,139,2.1,114,1.7,1,67.0,,-9999
