Rk,Player,Age,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,RPO_PassAtt,RPO_PassYds,Awards,PlayerID
1,Caleb Williams,24,QB,2,2,47,90,942,10.5,359,7.6,4.0,259,5.5,1,2,0,6,6.8,20,22.7,57,64.8,2.6,17,11,13,25,25.8,6,9.0,9,52,9,52,0,0,15,118,,WillCa03
,Team Totals,,,2,2,47,90,942,10.5,359,7.6,4.0,259,5.5,1,2,0,6,6.8,20,22.7,57,64.8,2.6,17,11,13,25,25.8,6,9.0,9,52,9,52,0,0,15,118,,-9999
