#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,6:50,BAL 28,3,2:16,8,Punt
2,1,0:03,BAL 38,12,6:48,62,Touchdown
3,2,6:33,BAL 22,12,5:27,54,Field Goal
4,3,15:00,BAL 34,8,4:55,56,Field Goal
5,3,7:57,BAL 10,10,4:22,76,Field Goal
6,4,12:22,BAL 44,5,2:34,12,Punt
7,4,9:00,CHI 9,2,0:47,9,Touchdown
8,4,5:06,BAL 34,9,2:57,66,Touchdown
9,4,0:24,BAL 1,1,0:24,0,End of Game
