#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:13,NYG 31,6,2:51,16,Downs
2,1,5:40,NYG 35,3,2:06,-4,Punt
3,1,0:40,NYG 20,6,2:34,80,Touchdown
4,2,11:23,NYG 11,11,5:57,70,Downs
5,2,1:08,NYG 33,8,1:05,53,Field Goal
6,3,15:00,NYG 44,6,2:43,56,Touchdown
7,3,9:12,NYG 20,10,4:07,59,Fumble
8,3,0:34,NYG 20,10,5:15,79,Field Goal
9,4,8:41,CHI 43,3,2:28,4,Punt
10,4,3:56,NYG 35,3,1:03,-8,Punt
11,4,1:47,NYG 35,6,1:09,11,Downs
