#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DET 40,5,2:47,60,Touchdown
2,1,8:30,DET 30,4,1:38,20,Punt
3,1,5:03,,4,2:24,50,Touchdown
4,1,0:31,DET 32,3,0:51,1,Punt
5,2,13:14,CHI 37,4,1:17,0,Missed FG
6,2,9:45,DET 33,8,4:57,67,Touchdown
7,2,1:55,DET 24,8,1:53,76,Touchdown
8,3,13:42,DET 24,5,3:03,60,Field Goal
9,3,7:41,CHI 46,3,1:19,46,Touchdown
10,3,4:19,DET 16,7,4:23,84,Touchdown
11,4,11:45,CHI 43,6,3:47,43,Touchdown
12,4,6:02,DET 29,3,2:01,4,Punt
