#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,10:57,CHI 29,3,0:58,7,Punt
2,1,7:44,CHI 16,3,1:31,6,Punt
3,1,4:52,CHI 23,5,1:54,77,Touchdown
4,2,13:44,CHI 35,3,1:24,65,Touchdown
5,2,3:23,CHI 20,5,2:17,14,Punt
6,3,15:00,CHI 35,10,5:09,65,Touchdown
7,3,4:52,CHI 20,10,4:58,80,Touchdown
8,4,11:23,CHI 11,11,6:01,78,Field Goal
9,4,2:15,CHI 35,15,2:15,63,End of Game
