#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CHI 35,3,1:25,6,Punt
2,1,12:55,NOR 24,6,3:21,15,Field Goal
3,1,7:58,CHI 24,4,1:50,9,Interception
4,1,2:55,CHI 44,9,3:49,35,Field Goal
5,2,11:06,NOR 30,4,2:01,30,Touchdown
6,2,7:26,CHI 45,8,4:35,55,Touchdown
7,2,1:38,CHI 43,3,0:30,6,Punt
8,2,0:22,CHI 27,2,0:22,10,End of Half
9,3,9:40,CHI 28,8,5:33,66,Field Goal
10,3,2:35,CHI 12,7,4:15,20,Punt
11,4,10:40,CHI 34,8,4:18,51,Field Goal
12,4,4:20,CHI 32,9,4:20,48,End of Game
