#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,10:41,WAS 35,8,4:35,44,Interception
2,1,2:27,WAS 30,1,0:28,5,Fumble
3,2,14:18,WAS 35,8,4:50,65,Touchdown
4,2,5:30,WAS 31,10,4:20,37,Missed FG
5,2,0:19,WAS 9,1,0:19,-1,End of Half
6,3,15:00,WAS 40,8,3:01,25,Field Goal
7,3,8:05,WAS 16,9,5:09,84,Touchdown
9,4,10:26,WAS 40,5,2:29,21,Punt
10,4,6:02,WAS 39,6,2:55,17,Fumble
